year,sector,industry,wage_type,annual_wage_kes,monthly_wage_kes
2019,Public,Parastatal Bodies2,real,932737.0,77728.08333333333
2020,Public,Parastatal Bodies2,real,894516.5,74543.04166666667
2021,Public,Parastatal Bodies2,real,848733.3,70727.77500000001
2022,Public,Parastatal Bodies2,real,818228.2,68185.68333333333
2023,Public,Parastatal Bodies2,real,788902.6,65741.88333333333
2019,Public,Corporations Controlled by the Government3,real,1232998.1,102749.84166666667
2020,Public,Corporations Controlled by the Government3,real,1182473.9,98539.49166666665
2021,Public,Corporations Controlled by the Government3,real,1121952.4,93496.03333333333
2022,Public,Corporations Controlled by the Government3,real,1081627.3,90135.60833333334
2023,Public,Corporations Controlled by the Government3,real,1042853.3,86904.44166666667
2019,Public,County governments,real,827138.1,68928.175
2020,Public,County governments,real,744738.0,62061.5
